"","13_54_AM_TNF","10_99_Q_TNF","15_94_AM_TNF","17_3_Q_IS","1_28_Q_NT","6_24_AM_NT","42_2","2_57_Q_NT","7_91_AM_NT","11_100_Q_TNF","4_80_Q_NT","8_47_Q_TNF","18_7_Q_IS","9_23_Q_TNF","12_54_AM_TNF","41_96_AS_Cort","5_82_AM_NT","19_83_Q_IS","40_44_AS_Cort","39_93_AS_Cort","38_90_AS_Cort","20_84_Q_IS","21_1_Q_5ASA","37_55_AM_TNF_RCH","36_55_AM_TNF_RCH","35_68_AM_TNF_RCH","32_20_AM_5ASA","22_1_Q_5ASA","31_20_AM_5ASA","23_21_Q_5ASA","29_85_AM_5ASA","46_50","45_41","44_18","28_85_AM_5ASA","27_49_AM_5ASA","26_49_AM_5ASA","24_22_Q_5ASA","43_9","X15B","X16B","X17B","X18B","X19B","X1A","X1B","X20B","X21B","X22B","X23B","X24B","X25B","X2A","X2B","X3A","X3B","X4A","X5A","X5B","X6A","X6B","X7B","X8B"
"ENSG00000183019",30.2999803034437,-17.3053929493783,-6.8160734190955,-17.3053929493783,-16.4985222162796,-9.23668561839155,-17.3053929493783,-17.3053929493783,-15.691651483181,-17.3053929493783,-17.3053929493783,-17.3053929493783,-17.3053929493783,-14.8847807500823,747.60806202817,85.9740608872526,187.639773257686,-15.691651483181,74.6778706238711,81.9397072217592,-6.8160734190955,-15.691651483181,-17.3053929493783,-17.3053929493783,-14.8847807500823,-13.2710392838849,-1.16797828740475,-17.3053929493783,-16.4985222162796,-16.4985222162796,-1.16797828740475,-17.3053929493783,-17.3053929493783,-16.4985222162796,-17.3053929493783,-16.4985222162796,-10.0435563514902,-15.691651483181,-17.3053929493783,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,249.926824270648,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642,21.3525564037642
"ENSG00000150045",15,1,16,11,3,7,20,24,16,1,10,29,16,28,30,7,30,11,9,15,12,5,15,5,58,28,8,12,8,26,11,12,14,20,7,13,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000114948",55,48,94,52,33,21,63,47,93,35,36,36,69,138,107,35,104,42,60,76,116,35,40,39,46,43,37,70,33,125,58,71,36,113,120,68,80,74,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162551",388.651271758652,-94.6395606669261,100.131493872479,-31.6016260027203,-80.0923449751862,-42.9161270962956,-85.749595521974,-63.9287719843642,-38.8752338485902,-94.6395606669261,-79.2841663256452,-88.1741314705973,-71.2023798302341,-17.8625889605215,4583.09846287696,237.521864294466,1084.49308901354,-85.749595521974,319.147907898117,266.616295677946,-11.3971597641927,-82.5168809238095,-76.0514517274808,-84.1332382228917,-68.7778438816109,-70.394201180693,-16.2462316614393,-57.4633427880354,-67.9696652320698,9.61548512387586,26.587236764239,-76.8596303770219,-89.7904887696795,-55.8469854889533,-84.9414168724329,-72.0105584797753,-26.7525541054736,-32.4098046522614,30.6281300119445,109.357015483094,109.357015483094,109.357015483094,109.357015483094,109.357015483094,113.463065912096,109.357015483094,109.357015483094,109.357015483094,109.357015483094,109.357015483094,109.357015483094,109.357015483094,2211.65483513195,109.357015483094,109.357015483094,109.357015483094,109.357015483094,109.357015483094,347.507940365191,109.357015483094,109.357015483094,109.357015483094,109.357015483094
"ENSG00000198892",54.4485861430061,-3.6516811069624,7.29474605607516,20.7672717951983,17.3991403604175,17.3991403604175,22.4513375125887,15.7150746430271,9.82084463216074,-0.283549672181607,3.92661462129437,3.92661462129437,19.9252389365031,39.2919946864926,107.496656240804,8.13677891477035,35.0818303930166,15.7150746430271,8.97881177346555,53.6065532843109,45.186224697359,15.7150746430271,4.76864747998957,-1.12558253087681,24.9774360886743,4.76864747998957,5.61068033868476,16.5571075017223,5.61068033868476,40.976060403883,16.5571075017223,21.6093046538935,0.558483186513584,32.555731816931,19.0832060778079,8.97881177346555,6.45271319737996,28.3455675234551,30.0296332408454,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,115.852435837493,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203,15.1398852015203
"ENSG00000158089",28.2891752764501,2.20499559275211,120.515382015239,-5.24762717401873,-5.24762717401873,0.341839901059402,0.341839901059402,-2.45289363647966,4.06815128444482,-5.24762717401873,4.99972913029118,2.20499559275211,-0.589737944786954,22.6997082013719,222.988945058338,24.5628638930646,76.7312232604605,0.341839901059402,27.3575974306037,35.7417980432209,13.3839297429084,-4.31604932817237,-3.38447148232602,-1.52131579063331,1.27341774690575,12.452351897062,-0.589737944786954,4.99972913029118,-1.52131579063331,1.27341774690575,32.0154866598355,-4.31604932817237,-2.45289363647966,-3.38447148232602,-1.52131579063331,1.27341774690575,4.06815128444482,-3.38447148232602,21.7681303555256,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,16.6710627361671,101.670253634163,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,216.669158966746,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,8.67113888694389,84.6704154545641
"ENSG00000163221",120,0,81,0,0,20,0,0,0,0,3,1,0,3,1779,145,672,0,188,332,3,1,0,2,2,1,32,0,1,2,30,1,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000178814",311.871275947808,572.998818711896,248.812612370103,915.779246365063,416.160604172475,429.095714649953,712.051256344784,336.12460809308,594.018373237797,130.779729263116,33.7664006820314,260.939278442739,521.258376801984,134.821951287328,62.8703992563568,7.89617972707538,268.21527808632,572.190374307053,154.224617003545,467.092601677544,580.274818355477,857.571249216412,419.394381791844,117.844618785638,530.15126525525,131.588173667959,379.780605954568,368.462384286775,323.997942020444,510.748599539033,154.224617003545,726.603255631947,387.865050002992,346.634385356031,619.080149787911,501.047266680924,94.3997310452095,357.144162618981,268.21527808632,320.330278370934,280.157888788043,280.157888788043,467.629040174868,280.157888788043,280.157888788043,280.157888788043,280.157888788043,554.669217604465,280.157888788043,1070.21488391823,280.157888788043,280.157888788043,280.157888788043,427.456650591977,280.157888788043,280.157888788043,280.157888788043,280.157888788043,283.50558791995,280.157888788043,280.157888788043,280.157888788043,280.157888788043
"ENSG00000106070",266.148352807365,39.5373138361988,324.980064847957,266.148352807365,96.1900735789904,261.790448211766,234.55354448927,158.290214066281,225.837735298071,15.5688385604023,53.7005037718966,95.1005974300905,280.311542743063,302.10106572106,441.554012780239,153.932309470682,399.064442973146,197.511355426675,355.485397017152,938.355136678566,865.360234702277,250.895686722768,425.211870546742,146.305976428383,248.716734424968,141.948071832784,290.116828083162,333.695874039155,135.411214939385,457.896155013737,297.743161125461,443.732965078039,181.169213193178,262.879924360666,445.911917375839,231.28511604257,229.106163744771,330.427445592456,395.796014526446,202.35714953814,179.612312401955,178.09598992621,1298.65829950226,596.600993232016,178.09598992621,178.09598992621,178.09598992621,178.09598992621,178.09598992621,498.040032308547,313.048690267575,686.822180538883,201.598988300268,627.685603984802,178.09598992621,180.370473639828,178.09598992621,178.09598992621,181.128634877701,178.854151164082,179.612312401955,178.09598992621,178.09598992621
"ENSG00000211895",63910.1315699877,-7095.88530184568,4316.99379427239,38274.3903288064,8938.87848133508,-1992.33541571159,16771.5951078452,19770.6883188419,26466.3194837858,5515.49965035108,-1789.48648120333,15344.3790985162,-10.719529599035,59318.9570801812,154846.258298029,13168.804071838,63712.9397770792,20654.0105715013,55751.7252199443,167548.965678909,30138.6125451624,6638.84633946056,-5193.46939813078,-5836.76721434023,29734.5310023173,18799.2762898421,12331.5471150629,-3327.42083327192,4430.94478935473,19046.5741940634,118373.050077741,21291.651246111,5404.78130761151,58804.9653576822,21488.0348759337,-4357.82876752703,5530.0465858935,10385.4904047207,8621.2703886588,22923.4127163754,28854.8721063762,22726.7897531709,22726.7897531709,22754.8787479144,27487.8743621929,43662.4538353207,22731.4712522948,23049.8131927211,22843.8272312688,22754.8787479144,22740.8342505427,22736.1527514187,49153.8523076735,23040.4501944733,22750.1972487905,29121.7175564394,22731.4712522948,22726.7897531709,22726.7897531709,75257.8914226259,22736.1527514187,24435.5369334,23007.6797006058
